Log Start (time: 1533627222691)
MESSAGE [09:33:42 | NRelay]           Starting...
INFO    [09:33:43 | NRelay]           Checking for updates...
INFO    [09:33:46 | NRelay]           Adding Main Client
INFO    [09:33:46 | ResourceManager]  Loaded 1301 tiles.
INFO    [09:33:47 | ResourceManager]  Loaded 8539 objects.
INFO    [09:33:54 | PluginManager]    Loaded Key Notifier by Lolization
INFO    [09:33:54 | PluginManager]    Loaded Player Tracker by tcrane
INFO    [09:33:54 | PluginManager]    Loaded RealmTrack by Fluttar
SUCCESS [09:33:54 | Player Tracker]   Enabled tracking for all clients.
MESSAGE [09:33:54 | Unhandled Rejection]at: [object Promise] reason: Error: An invalid token was provided.
MESSAGE [09:33:54 | Unhandled Rejection]at: [object Promise] reason: Error: An invalid token was provided.
INFO    [09:33:54 | NRelay]           Adding Secondary Client
INFO    [09:33:54 | NRelay]           Adding Third Client
INFO    [09:33:54 | NRelay]           Adding Fourth Client
INFO    [09:33:54 | NRelay]           Adding Fifth Client
INFO    [09:33:54 | NRelay]           Adding Sixth Client
INFO    [09:33:54 | NRelay]           Adding Seventh Client
INFO    [09:33:54 | NRelay]           Adding Eight Client
INFO    [09:33:54 | Main Client]      Starting connection to USWest3
SUCCESS [09:33:54 | NRelay]           Authorized Main Client
SUCCESS [09:33:54 | Main Client]      Connected to USWest3!
INFO    [09:33:54 | Main Client]      Connecting to Nexus
INFO    [09:33:54 | NRelay]           Adding Ninth Client
INFO    [09:33:55 | Secondary Client] Starting connection to USWest
SUCCESS [09:33:55 | NRelay]           Authorized Secondary Client
INFO    [09:33:55 | Sixth Client]     Starting connection to USSouth
SUCCESS [09:33:55 | NRelay]           Authorized Sixth Client
SUCCESS [09:33:55 | Secondary Client] Connected to USWest!
SUCCESS [09:33:55 | Sixth Client]     Connected to USSouth!
INFO    [09:33:55 | Eight Client]     Starting connection to USMidWest2
SUCCESS [09:33:55 | NRelay]           Authorized Eight Client
SUCCESS [09:33:55 | Main Client]      Connected!
INFO    [09:33:55 | Fourth Client]    Starting connection to USSouth3
SUCCESS [09:33:55 | NRelay]           Authorized Fourth Client
INFO    [09:33:55 | Seventh Client]   Starting connection to USNorthWest
SUCCESS [09:33:55 | NRelay]           Authorized Seventh Client
INFO    [09:33:55 | Third Client]     Starting connection to USSouthWest
SUCCESS [09:33:55 | NRelay]           Authorized Third Client
SUCCESS [09:33:55 | Eight Client]     Connected to USMidWest2!
INFO    [09:33:55 | Secondary Client] Connecting to Nexus
INFO    [09:33:55 | Sixth Client]     Connecting to Nexus
INFO    [09:33:55 | NRelay]           Adding Tenth Client
SUCCESS [09:33:55 | Seventh Client]   Connected to USNorthWest!
INFO    [09:33:55 | Eight Client]     Connecting to Nexus
